combination,threshold,weight,denominator,numerator_mass,declared_mass,settled_mass,share_of_declared,share_of_settled,abstained_share,eligible_for_extrema
exact_code_unanimity,2,russian_employment,screen_only,0.050283247974766035,0.39106560554249964,0.0992985531376302,0.12858008288663328,0.5063844979198462,0.7460821106988433,False
exact_code_unanimity,2,russian_employment,screen_and_mixed,0.05223210222516475,0.4527023914672119,0.11868029162094769,0.11537845438783768,0.4401076329673049,0.7378403696161093,False
exact_code_unanimity,3,one_task_one_vote,whole_corpus,675.0,18796.0,9433.0,0.03591189614811662,0.07155729884448214,0.49813790168120875,True
exact_code_unanimity,3,one_task_one_vote,screen_only,638.0,8990.0,2317.0,0.07096774193548387,0.27535606387570133,0.7422691879866519,False
exact_code_unanimity,3,one_task_one_vote,screen_and_mixed,657.0,10331.0,2714.0,0.06359500532378279,0.24207811348563008,0.7372955183428516,False
exact_code_unanimity,3,onet_importance,whole_corpus,2460.210000000004,71681.99999999988,36766.35999999998,0.034321168494182756,0.06691470137375595,0.4870907619765068,True
exact_code_unanimity,3,onet_importance,screen_only,2314.2400000000043,33262.049999999996,8625.720000000005,0.06957598825087463,0.2682952843356848,0.7406738309875667,False
exact_code_unanimity,3,onet_importance,screen_and_mixed,2390.210000000004,38601.74000000001,10246.550000000005,0.061919747659043435,0.23326973469118903,0.7345573023392209,False
exact_code_unanimity,3,russian_employment,whole_corpus,0.030951942474315416,0.8923385417284052,0.4816480120362457,0.03468632254117747,0.06426257702894074,0.4602407163728208,True
exact_code_unanimity,3,russian_employment,screen_only,0.02886268958730678,0.39106560554249964,0.0992985531376302,0.07380523671282077,0.2906657617387677,0.7460821106988433,False
exact_code_unanimity,3,russian_employment,screen_and_mixed,0.029973608329545588,0.4527023914672119,0.11868029162094769,0.06621040421810208,0.2525575891343284,0.7378403696161093,False
exact_code_unanimity,4,one_task_one_vote,whole_corpus,8.0,18796.0,9433.0,0.00042562247286656737,0.000848086504823492,0.49813790168120875,True
exact_code_unanimity,4,one_task_one_vote,screen_only,8.0,8990.0,2317.0,0.0008898776418242492,0.0034527406128614588,0.7422691879866519,False
exact_code_unanimity,4,one_task_one_vote,screen_and_mixed,8.0,10331.0,2714.0,0.0007743684057690447,0.0029476787030213707,0.7372955183428516,False
exact_code_unanimity,4,onet_importance,whole_corpus,26.339999999999996,71681.99999999988,36766.35999999998,0.0003674562651711732,0.0007164157670218105,0.4870907619765068,True
